Program Name,Age,Location,Day,Time,"Start Date","# of Classes","Course Code",Fee
"","",Centennial C.C.,Sat.,11:30 a.m. - 1:00 p.m.,Jan. 9,10,273559,$78.50
"","",Cornell C.C.,Tue.,5:00 p.m. - 6:30 p.m.,Jan. 5,10,273522,$78.50
"","",Thornhill C.C.,Fri.,5:00 p.m. - 6:00 p.m.,Jan. 8,10,274532,$53
Bollywood,6 - 10 yrs,Thornhill C.C.,Wed.,5:00 p.m. - 6:00 p.m.,Jan. 6,12,274533,$91
Bollywood / Hip Hop Dance,6 - 10 yrs,Armadale C.C.,Sat.,10:00 a.m. - 11:00 a.m.,Jan. 16,8,275176,$61
Car Modelling,7 - 11 yr,Milliken Mills C.C.,Tue.,6:30 p.m. - 8:00 p.m.,Jan. 26,6,272236,$100
"","",Milliken Mills C.C.,Wed.,5:30 p.m. - 7:00 p.m.,Jan. 27,6,272235,$100
Chemistry Fun,7 - 10 yrs,Thornhill C.C.,Mon.,6:00 p.m. - 7:00 p.m.,Jan. 4,9,274542,$80
Chess,5 - 12 yrs,Angus Glen C.C.,Mon.,5:15 p.m. - 6:15 p.m.,Jan. 4,9,273972,$69
"","",Angus Glen C.C.,Mon.,6:15 p.m. - 7:15 p.m.,Jan. 4,9,273973,$69
"",6 - 12 yrs,Armadale C.C.,Fri.,6:30 p.m. - 7:30 p.m.,Jan. 15,8,275178,$61
"",7 - 12 yrs,Angus Glen Library,Sat.,11:00 a.m. - 12:00 p.m.,Jan. 16,8,273168,$61
"","",Centennial C.C.,Sat.,11:00 a.m. - 12:00 p.m.,Jan. 9,10,273562,$89.50
"","",Centennial C.C.,Sun.,11:00 a.m. - 12:00 p.m.,Jan. 10,10,273561,$89.50
"","",Cornell C.C.,Thu.,5:30 p.m. - 6:30 p.m.,Jan. 7,10,273589,$76
"","",Cornell C.C.,Thu.,6:30 p.m. - 7:30 p.m.,Jan. 7,10,273590,$76
"","",Markham Village Library,Wed.,5:00 p.m. - 6:00 p.m.,Jan. 13,8,273169,$61
"","",Milliken Mills Library,Thu.,5:00 p.m. - 6:00 p.m.,Jan. 14,8,273172,$61
"","",Thornhill C.C.,Wed.,6:30 p.m. - 7:30 p.m.,Jan. 6,10,274544,$76
"","",Thornhill C.C. Library,Tue.,5:00 p.m. - 6:00 p.m.,Jan. 12,8,273171,$61
"","",Unionville Library,Sat.,1:00 p.m. - 2:00 p.m.,Jan. 16,8,273170,$61
Chess-Advance,6 - 12 yrs,Thornhill C.C.,Wed.,7:30 p.m. - 8:30 p.m.,Jan. 6,10,274546,$65
Chess & Badminton,8 - 12 yrs,Cornell C.C.,Wed.,5:00 p.m. - 5:45 p.m.,Jan. 6,10,273588,$78.50
"","",Cornell C.C.,Sun.,10:30 a.m. - 11:15 a.m.,Jan. 10,10,273587,$78.50
Chess & Tennis,3 - 5 yrs,Centennial C.C.,Mon.,1:00 p.m. - 2:30 p.m.,Jan. 4,9,273560,$87.50
