Program Name,Age,Location,Day,Time,"Start Date","# of Classes","Course Code",Fee
"","",Cornell C.C.,Fri.,9:00 a.m. - 4:00 p.m.,Jan. 15,1,271258,$61
"","",Cornell C.C.,Mon.,9:00 a.m. - 4:00 p.m.,Feb. 1,1,271260,$61
P.A.Day Camp - Robotics,7 - 12 yrs,Milliken Mills C.C.,Fri.,9:00 a.m. - 4:00 p.m.,Jan. 15,1,271382,$61
"","",Milliken Mills C.C.,Mon.,9:00 a.m. - 4:00 p.m.,Feb. 1,1,271383,$61
PA DAY Basketball Clinic,6 - 12 yrs,Cornell C.C.,Fri.,9:00 a.m. - 12:00 p.m.,Jan. 15,1,271270,$21
"","",Cornell C.C.,Mon.,9:00 a.m. - 12:00 p.m.,Feb. 1,1,271271,$21
PA Day Camp - Hockey Hockey Hockey,7 - 12 yrs,Milliken Mills C.C.,Fri.,9:00 a.m. - 9:30 a.m.,Jan. 15,1,271380,$61
"","",Milliken Mills C.C.,Mon.,9:00 a.m. - 9:30 a.m.,Feb. 1,1,271381,$61
Private Tennis Lessons ,7 yrs+ ,Angus Glen Tennis Centre ,Mon. ,6:00 p.m. - 7:00 p.m. ,Jan. 4 ,9 ,273414 ,$450
"","",Angus Glen Tennis Centre ,Thu. ,5:30 p.m. - 6:30 p.m. ,Jan. 7 ,5 ,273415 ,$250
"","",Angus Glen Tennis Centre ,Sat. ,9:30 a.m. - 10:30 a.m. ,Jan. 9 ,5 ,273417 ,$250
"","",Angus Glen Tennis Centre ,Sat. ,2:30 p.m. - 3:30 p.m. ,Jan. 9 ,5 ,273419 ,$250
"","",Angus Glen Tennis Centre ,Thu. ,7:30 p.m. - 8:30 p.m. ,Feb. 11 ,5 ,273416 ,$250
"","",Angus Glen Tennis Centre ,Sat. ,9:30 a.m. - 10:30 a.m. ,Feb. 13 ,5 ,273418 ,$300
"","",Angus Glen Tennis Centre ,Sat. ,6:30 p.m. - 7:30 p.m. ,Feb. 13 ,5 ,273420 ,$250
Public Speaking for Children ,9 - 12 yrs ,Angus Glen Library ,Sun. ,3:15 p.m. - 4:15 p.m. ,Jan. 17 ,8 ,273095 ,$52
"","",Milliken Mills Library ,Tue. ,7:00 p.m. - 8:00 p.m. ,Jan. 12 ,8 ,273096 ,$52
Reading Skills ,7 - 9 yrs ,Angus Glen Library ,Sat. ,10:15 a.m. - 11:15 a.m. ,Jan. 16 ,8 ,273087 ,$52
"","",Cornell Library ,Tue. ,6:00 p.m. - 7:00 p.m. ,Jan. 12 ,8 ,273174 ,$52
"","",Markham Village Library ,Sun. ,2:15 p.m. - 3:15 p.m. ,Jan. 17 ,8 ,273085 ,$52
"","",Milliken Mills Library ,Tue.. ,6:00 p.m. - 7:00 p.m. ,Jan. 12 ,8 ,273099 ,$52
"","",Unionville Library ,Wed. ,7:00 p.m. - 8:00 p.m. ,Jan. 13 ,8 ,273086 ,$52
Rhythmic Gymnastics ,6 - 8 yrs ,Thornlea Pool/Gym ,Wed. ,5:00 p.m. - 6:00 p.m. ,Jan. 6 ,10 ,274641 ,$88.50
"",9 - 10 yrs ,Thornlea Pool/Gym ,Wed. ,6:00 p.m. - 7:00 p.m. ,Jan. 6 ,10 ,274642 ,$88.50
Robo-gals - Girls Only ,8 - 14 yrs ,Milliken Mills C.C. ,Wed. ,7:00 p.m. - 8:00 p.m. ,Jan. 13 ,8 ,272290 ,$138
"","",Milliken Mills C.C. ,Fri. ,5:30 p.m. - 6:30 p.m. ,Jan. 15 ,8 ,272291 ,$138
Robots and Remote Controls ,6 - 8 yrs ,Milliken Mills C.C. ,Thu. ,7:30 p.m. - 8:30 p.m. ,Jan. 14 ,6 ,273195 ,$54
"","",Milliken Mills C.C. ,Tue. ,4:00 p.m. - 5:00 p.m. ,Jan. 26 ,7 ,272302 ,$54
"","",Milliken Mills C.C. ,Wed. ,4:30 p.m. - 5:30 p.m. ,Jan. 27 ,7 ,272300 ,$54
"","",Milliken Mills C.C. ,Sat. ,11:15 a.m. - 12:15 p.m. ,Jan. 30 ,7 ,272319 ,$54
"","",Milliken Mills C.C. ,Sun. ,1:00 p.m. - 2:00 p.m. ,Jan. 31 ,7 ,272303 ,$54
Rock Climbing ,6 - 10 yrs ,Armadale C.C. ,Tue. ,5:45 p.m. - 7:05 p.m. ,Jan. 12 ,5 ,271318 ,$104
"","",Armadale C.C. ,Sat. ,1:30 p.m. - 3:00 p.m. ,Feb. 13 ,5 ,271317 ,$104
"","",Armadale C.C. ,Tue. ,7:05 p.m. - 8:25 p.m. ,Feb. 16 ,5 ,275255 ,$104
"",6 - 15 yrs ,Armadale C.C. ,Sat. ,12:00 p.m. - 1:30 p.m. ,Jan. 9 ,5 ,271316 ,$104
"","",Armadale C.C. ,Fri. ,9:30 a.m. - 11:30 a.m. ,Feb. 5 ,1 ,271319 ,$28
"","",Armadale C.C. ,Thu. ,9:30 a.m. - 11:30 a.m. ,Jun. 30 ,1 ,271326 ,$28
School Skills ,7 - 8 yrs ,Angus Glen Library ,Thu. ,6:00 p.m. - 7:00 p.m. ,Jan. 14 ,8 ,273100 ,$52
"","",Markham Village Library ,Wed. ,7:00 p.m. - 8:00 p.m. ,Jan. 13 ,8 ,273102 ,$52
"","",Milliken Mills Library ,Thu. ,7:00 p.m. - 8:00 p.m. ,Jan. 14 ,8 ,273101 ,$52
"","",Unionville Library ,Sun. ,1:15 p.m. - 2:15 p.m. ,Jan. 17 ,8 ,273163 ,$52
Science Wiz Exploration ,6 - 10 yrs ,Armadale C.C. ,Fri. ,5:30 p.m. - 7:00 p.m. ,Jan. 15 ,8 ,275265 ,$78
"","",Armadale C.C. ,Sun. ,1:00 p.m. - 2:30 p.m. ,Jan. 17 ,8 ,275264 ,$78
"","",Thornhill C.C. ,Sun. ,1:00 p.m. - 2:30 p.m. ,Jan. 10 ,9 ,274645 ,$59
Skipping for Kids,6 - 10 yrs,Cornell C.C.,Mon.,6:00 p.m. - 7:00 p.m.,Jan. 4,9,273766,$47.50
Speed Math,6 - 10 yrs,Thornhill C.C.,Tue.,6:00 p.m. - 7:00 p.m.,Jan. 5,10,274651,$65
Speed Math- Advance,9 - 12 yrs,Thornhill C.C.,Tue.,7:00 p.m. - 8:00 p.m.,Jan. 5,12,274652,$78
Sports Club,6 - 10 yrs,Centennial C.C.,Fri.,6:00 p.m. - 7:00 p.m.,Jan. 8,10,273650,$53
Sports with Dad,6 - 10 yrs,Centennial C.C.,Sat.,10:00 a.m. - 11:30 a.m.,Jan. 9,10,273651,$78.50
"","",Cornell C.C.,Sat.,12:00 p.m. - 1:30 p.m.,Jan. 9,10,273767,$78.50
"","",Cornell C.C.,Sun.,11:30 a.m. - 1:00 p.m.,Jan. 10,10,273768,$78.50
Table Tennis - Children,6 - 10 yrs,Milliken Mills C.C.,Mon.,6:00 p.m. - 7:00 p.m.,Jan. 11,8,272308,$42.50
"","",Milliken Mills C.C.,Sun.,10:00 a.m. - 11:00 a.m.,Jan. 17,9,272309,$47.50
"","",Thornhill C.C.,Mon.,5:00 p.m. - 6:00 p.m.,Jan. 4,9,274653,$53
Tae Kwon-Do,6 - 10 yrs,Milliken Mills C.C.,Tue.,6:00 p.m. - 7:00 p.m.,Jan. 12,9,272314,$69
"","",Old Unionville Lib. C.C.,Thu.,6:30 p.m. - 7:30 p.m.,Jan. 7,10,274275,$76
"","",Rouge River C.C.,Fri.,7:15 p.m. - 8:15 p.m.,Jan. 15,8,275272,$61
"","",Rouge River C.C.,Sun.,10:15 a.m. - 11:15 a.m.,Jan. 17,8,275270,$61
"","",Rouge River C.C.,Sun.,12:15 p.m. - 1:15 p.m.,Jan. 17,8,275271,$61
"","",Thornhill C.C.,Wed.,5:15 p.m. - 6:15 p.m.,Jan. 6,10,274656,$76
Tae Kwon-Do - Intermediate,6 - 11 yr,Milliken Mills C.C.,Tue.,7:00 p.m. - 8:00 p.m.,Jan. 12,9,272317,$69
Tennis,5 - 7 yrs,Angus Glen Tennis Centre,Mon.,4:30 p.m. - 5:30 p.m.,Jan. 4,9,273447,$101
"","",Angus Glen Tennis Centre,Tue.,5:30 p.m. - 6:30 p.m.,Jan. 5,10,275291,$112
"","",Angus Glen Tennis Centre,Wed.,5:30 p.m. - 6:30 p.m.,Jan. 6,10,273448,$112
"","",Angus Glen Tennis Centre,Thu.,5:30 p.m. - 6:30 p.m.,Jan. 7,10,275290,$112
"","",Angus Glen Tennis Centre,Sat.,8:30 a.m. - 9:30 a.m.,Jan. 9,10,273446,$112
"","",Angus Glen Tennis Centre,Sat.,9:30 a.m. - 10:30 a.m.,Jan. 9,10,273451,$112
"","",Angus Glen Tennis Centre,Sun.,8:30 a.m. - 9:30 a.m.,Jan. 10,10,273449,$112
"","",Angus Glen Tennis Centre,Sun.,10:30 a.m. - 11:30 a.m.,Jan. 10,10,273450,$112
"","",Angus Glen Tennis Centre,Sun.,2:30 p.m. - 3:30 p.m.,Jan. 10,10,273452,$112
"",8 - 10 yrs,Angus Glen Tennis Centre,Sun.,9:30 a.m. - 10:30 a.m.,Jan. 10,10,273455,$112
"","",Angus Glen Tennis Centre,Fri.,5:30 p.m. - 6:30 p.m.,Jan. 8,10,275292,$112
"","",Angus Glen Tennis Centre,Tue.,4:30 p.m. - 5:30 p.m.,Jan. 5,10,273456,$112
"","",Angus Glen Tennis Centre,Wed.,4:30 p.m. - 5:30 p.m.,Jan. 6,10,273457,$112
"","",Angus Glen Tennis Centre,Wed.,6:30 p.m. - 7:30 p.m.,Jan. 6,10,275293,$112
"","",Angus Glen Tennis Centre,Thu.,4:30 p.m. - 5:30 p.m.,Jan. 7,10,275294,$112
"","",Angus Glen Tennis Centre,Sat.,11:30 a.m. - 12:30 p.m.,Jan. 9,10,273454,$112
Tennis - Level 2 ,5 - 7 yrs ,Angus Glen Tennis Centre ,Fri. ,4:30 p.m. - 5:30 p.m. ,Jan. 8 ,10 ,273458 ,$112
"","",Angus Glen Tennis Centre ,Sat. ,10:30 a.m. - 11:30 a.m. ,Jan. 9 ,10 ,273459 ,$112
"","",Angus Glen Tennis Centre ,Sun. ,5:30 p.m. - 6:30 p.m. ,Jan. 10 ,10 ,275295 ,$112
"",8 - 10 yrs ,Angus Glen Tennis Centre ,Sun. ,4:30 p.m. - 5:30 p.m. ,Jan. 10 ,10 ,273462 ,$112
"","",Angus Glen Tennis Centre ,Mon. ,5:30 p.m. - 6:30 p.m. ,Jan. 4 ,9 ,273461 ,$80
"","",Angus Glen Tennis Centre ,Tue. ,6:30 p.m. - 7:30 p.m. ,Jan. 5 ,10 ,273460 ,$112
"","",Angus Glen Tennis Centre ,Fri. ,6:30 p.m. - 7:30 p.m. ,Jan. 8 ,10 ,273463 ,$112
Try It Water Polo  P.A. Day Fun ,6 yrs+ ,Milliken Mills C.C. ,Fri. ,1:00 p.m. - 1:45 p.m. ,Jan. 15 ,1 ,274996 ,$13.50
"","",Milliken Mills C.C. ,Mon. ,1:00 p.m. - 1:45 p.m. ,Feb. 1 ,1 ,274997 ,$13.50
Underwater Hockey - P.A. Day Fun ,6 - 12 yrs ,Milliken Mills C.C. ,Fri. ,1:45 p.m. - 2:30 p.m. ,Jan. 15 ,1 ,274991 ,$13.50
"","",Milliken Mills C.C. ,Mon. ,1:45 p.m. - 2:30 p.m. ,Feb. 1 ,1 ,274992 ,$13.50
Underwater Hockey! ,8 - 12 yrs ,Milliken Mills C.C. ,Mon. ,6:30 p.m. - 7:00 p.m. ,Jan. 11 ,4 ,272986 ,$46
"","",Milliken Mills C.C. ,Wed. ,4:30 p.m. - 5:00 p.m. ,Jan. 13 ,4 ,272989 ,$46
"","",Milliken Mills C.C. ,Mon. ,6:30 p.m. - 7:00 p.m. ,Feb. 8 ,4 ,272996 ,$46
"","",Milliken Mills C.C. ,Wed. ,4:30 p.m. - 5:00 p.m. ,Feb. 10 ,4 ,272997 ,$46
Violin Lessons - Beginner ,6 - 9 yrs ,Milliken Mills C.C. ,Fri. ,5:30 p.m. - 6:30 p.m. ,Jan. 15 ,8 ,272320 ,$111
Volleyball for Children ,6 - 10 yrs ,William Berczy P.S. ,Wed. ,6:00 p.m. - 7:30 p.m. ,Jan. 6 ,8 ,274278 ,$63
"",6 - 12 yrs ,Centennial C.C. ,Tue. ,5:00 p.m. - 6:30 p.m. ,Jan. 5 ,10 ,273657 ,$78.50
"","",Cornell C.C. ,Mon. ,6:00 p.m. - 7:30 p.m. ,Jan. 4 ,9 ,273772 ,$71
What’s that racquet?.. ,8 - 12 yrs ,Cornell C.C. ,Thu. ,6:30 p.m. - 8:00 p.m. ,Jan. 7 ,10 ,273773 ,$78.50
Writing Skills ,7 - 9 yrs ,Angus Glen Library ,Sat. ,11:15 a.m. - 12:15 p.m. ,Jan. 16 ,8 ,273088 ,$52
"","",Cornell Library ,Tue. ,7:00 p.m. - 8:00 p.m. ,Jan. 12 ,8 ,273175 ,$52
"","",Unionville Library ,Sun. ,3:15 p.m. - 4:15 p.m. ,Jan. 17 ,8 ,273089 ,$52
Yoga for Kids ,6 - 10 yrs ,Angus Glen C.C. ,Wed. ,4:30 p.m. - 5:30 p.m. ,Jan. 6 ,10 ,274038 ,$88.50
"","",Centennial C.C. ,Tue. ,5:30 p.m. - 6:30 p.m. ,Jan. 5 ,10 ,273659 ,$88.50
"","",Thornhill C.C. ,Sat. ,2:00 p.m. - 3:00 p.m. ,Jan. 16 ,10 ,274670 ,$88.50
