Program Name,Age,Location,Day,Time,Start Date,# of Classes,Course Code,Fee
"","",Milliken Mills C.C. ,Thu. ,9:30 a.m. - 11:00 a.m. ,Jan. 14 ,8 ,272284 ,$78
"","",Milliken Mills C.C. ,Fri. ,9:30 a.m. - 11:00 a.m. ,Jan. 15 ,8 ,272283 ,$78
"","",Milliken Mills C.C. ,Sat. ,9:15 a.m. - 10:45 a.m. ,Jan. 16 ,8 ,272282 ,$78
"","",Markham Village C.C. ,Mon. ,9:30 a.m. - 11:00 a.m. ,Jan. 4 ,9 ,273543 ,$97
Rainbows and Rhythm (1) ,1 - 12 mths ,Milliken Mills C.C. ,Tue. ,1:45 p.m. - 2:30 p.m. ,Jan. 12 ,9 ,272285 ,$59
"","",Rouge River C.C. ,Mon. ,10:15 a.m. - 11:00 a.m. ,Jan. 11 ,8 ,275251 ,$52
"","",Un.Train Station C.C. ,Thu. ,9:15 a.m. - 10:00 a.m. ,Jan. 7 ,10 ,274045 ,$65
Rainbows and Rhythm (2) ,12 - 18 mths ,Centennial C.C. ,Mon. ,9:30 a.m. - 10:15 a.m. ,Jan. 4 ,9 ,273644 ,$59
"","",Milliken Mills C.C. ,Tue. ,2:30 p.m. - 3:15 p.m. ,Jan. 12 ,9 ,272286 ,$59
"","",Rouge River C.C. ,Mon. ,11:15 a.m. - 12:00 p.m. ,Jan. 11 ,8 ,275252 ,$52
"","",Un.Train Station C.C. ,Tue. ,9:15 a.m. - 10:00 a.m. ,Jan. 5 ,10 ,274003 ,$65
"","",Un.Train Station C.C. ,Thu. ,10:00 a.m. - 10:45 a.m. ,Jan. 7 ,10 ,274002 ,$65
Rainbows and Rhythm (3) ,1.5 - 2 yrs ,Centennial C.C. ,Mon. ,10:15 a.m. - 11:00 a.m. ,Jan. 4 ,9 ,273645 ,$59
"","",Markham Village C.C. ,Sat. ,9:00 a.m. - 9:45 a.m. ,Jan. 9 ,10 ,273544 ,$65
"","",Markham Village C.C. ,Sat. ,9:00 a.m. - 9:45 a.m. ,Jan. 9 ,10 ,273545 ,$65
"","",Milliken Mills C.C. ,Tue. ,1:00 p.m. - 1:45 p.m. ,Jan. 12 ,9 ,272287 ,$59
"","",Rouge River C.C. ,Mon. ,12:45 p.m. - 1:30 p.m. ,Jan. 11 ,8 ,275253 ,$52
"","",Un.Train Station C.C. ,Tue. ,10:00 a.m. - 10:45 a.m. ,Jan. 5 ,10 ,274005 ,$65
"","",Un.Train Station C.C. ,Wed. ,10:00 a.m. - 10:45 a.m. ,Jan. 6 ,10 ,274004 ,$65
Rainbows and Rhythm (4) ,2 - 3 yrs ,Centennial C.C. ,Mon. ,11:00 a.m. - 11:45 a.m. ,Jan. 4 ,9 ,273647 ,$59
"","",Markham Village C.C. ,Sat. ,9:45 a.m. - 10:30 a.m. ,Jan. 9 ,10 ,273546 ,$65
"","",Markham Village C.C. ,Sat. ,10:30 a.m. - 11:15 a.m. ,Jan. 9 ,10 ,273547 ,$65
"","",Rouge River C.C. ,Mon. ,12:00 p.m. - 12:45 p.m. ,Jan. 11 ,8 ,275254 ,$52
"","",Un.Train Station C.C. ,Tue. ,10:45 a.m. - 11:30 a.m. ,Jan. 5 ,10 ,274007 ,$65
"","",Un.Train Station C.C. ,Wed. ,10:45 a.m. - 11:30 a.m. ,Jan. 6 ,10 ,274006 ,$65
Read and Play ,1.5 - 3 yrs ,Cornell Library ,Wed. ,11:00 a.m. - 12:00 p.m. ,Jan. 13 ,8 ,273164 ,$52
Read and Sing ,2 - 3 yrs ,Markham Village Library ,Thu. ,11:00 a.m. - 12:00 p.m. ,Jan. 14 ,8 ,272954 ,$52
"","",Unionville Library ,Tue. ,11:00 a.m. - 12:00 p.m. ,Jan. 12 ,8 ,272953 ,$52
Read and Talk ,2 - 4 yrs ,Cornell Library ,Wed. ,9:45 a.m. - 10:45 a.m. ,Jan. 13 ,8 ,272958 ,$52
"","",Unionville Library ,Fri. ,10:45 a.m. - 11:45 a.m. ,Jan. 15 ,8 ,272962 ,$52
Read and Write ,3 - 4 yrs ,Angus Glen Library ,Sun. ,1:15 p.m. - 2:15 p.m. ,Jan. 17 ,8 ,273118 ,$52
Ready to Read ,3 - 4 yrs ,Angus Glen Library ,Sat. ,9:15 a.m. - 10:15 a.m. ,Jan. 16 ,8 ,273079 ,$52
"","",Unionville Library ,Wed. ,6:00 p.m. - 7:00 p.m. ,Jan. 13 ,8 ,273080 ,$52
Ready to Ride ,3 - 5 yrs ,Armadale C.C. ,Sat. ,3:00 p.m. - 4:00 p.m. ,Jan. 16 ,10 ,275353 ,$57.63
Sandwich Surprise ,3 - 5 yrs ,Armadale C.C. ,Sun. ,1:15 p.m. - 2:45 p.m. ,Feb. 14 ,4 ,275263 ,$45
Spectacular Science ,3 - 6 yrs ,Thornhill C.C. ,Sat. ,1:15 p.m. - 2:45 p.m. ,Jan. 9 ,10 ,274648 ,$97
"","",Thornhill C.C. ,Sun. ,9:30 a.m. - 11:00 a.m. ,Jan. 10 ,10 ,274649 ,$97
"","",Armadale C.C. ,Sun. ,2:45 p.m. - 4:00 p.m. ,Jan. 17 ,8 ,275268 ,$78
"","",Milliken Mills C.C. ,Sun. ,10:00 a.m. - 11:30 a.m. ,Jan. 17 ,8 ,272307 ,$78
Speed Math ,3 - 5 yrs ,Thornhill C.C. ,Tue. ,5:00 p.m. - 6:00 p.m. ,Jan. 5 ,10 ,274650 ,$65
Stories and Crafts ,2 - 4 yrs ,Centennial C.C. ,Thu. ,9:30 a.m. - 11:00 a.m. ,Jan. 7 ,10 ,273652 ,$97
Super Hero Club ,2 - 5 yrs ,Centennial C.C. ,Fri. ,11:00 a.m. - 12:00 p.m. ,Jan. 8 ,10 ,273654 ,$64
"","",Cornell C.C. ,Wed. ,10:00 a.m. - 11:00 a.m. ,Jan. 6 ,10 ,273770 ,$64
"","",Cornell C.C. ,Thu. ,4:00 p.m. - 5:00 p.m. ,Jan. 7 ,10 ,273771 ,$64
Tae Kwon-Do ,4 - 6 yrs ,Milliken Mills C.C. ,Tue. ,5:00 p.m. - 6:00 p.m. ,Jan. 12 ,9 ,272313 ,$69
"","",Old Unionville Lib. C.C. ,Thu. ,4:30 p.m. - 5:30 p.m. ,Jan. 7 ,10 ,274273 ,$76
"","",Old Unionville Lib. C.C. ,Thu. ,5:30 p.m. - 6:30 p.m. ,Jan. 7 ,10 ,274274 ,$76
"","",Rouge River C.C. ,Fri. ,6:15 p.m. - 7:15 p.m. ,Jan. 15 ,8 ,275275 ,$61
"","",Rouge River C.C. ,Sun. ,11:15 a.m. - 12:15 p.m. ,Jan. 17 ,8 ,275274 ,$61
"","",Thornhill C.C. ,Wed. ,4:30 p.m. - 5:15 p.m. ,Jan. 6 ,10 ,274658 ,$76
Tae Kwon Do - Intermediate ,4 - 6 yrs ,Milliken Mills C.C. ,Tue. ,6:00 p.m. - 7:00 p.m. ,Jan. 12 ,9 ,272315 ,$69
Teeball with Parents ,3 - 5 yrs ,Armadale C.C. ,Sun. ,11:30 a.m. - 12:30 p.m. ,Jan. 17 ,8 ,275277 ,$42.50
Tennis Tots ,4 - 6 yrs ,Angus Glen Tennis Centre ,Sat. ,2:30 p.m. - 3:30 p.m. ,Jan. 9 ,10 ,273473 ,$112
"","",Angus Glen Tennis Centre ,Sun. ,12:30 p.m. - 1:30 p.m. ,Jan. 10 ,10 ,273474 ,$112
"","",Angus Glen Tennis Centre ,Sun. ,1:30 p.m. - 2:30 p.m. ,Jan. 10 ,10 ,273476 ,$112
"","",Angus Glen Tennis Centre ,Sun. ,3:30 p.m. - 4:30 p.m. ,Jan. 10 ,10 ,273475 ,$112
"","",Angus Glen Tennis Centre ,Sat. ,4:30 p.m. - 5:30 p.m. ,Jan. 16 ,10 ,273472 ,$112
Toddler Jumpstart ,14 mths - 2 yrs, Angus Glen Library ,Tue. ,1:30 p.m. - 2:30 p.m. ,Jan. 12 ,8 ,272955 ,$52
"","",Cornell Library ,Fri. ,11:00 a.m. - 12:00 p.m. ,Jan. 15 ,8 ,272959 ,$52
"","",Unionville Library ,Fri. ,9:45 a.m. - 10:45 a.m. ,Jan. 15 ,8 ,272960 ,$52
Tot Spot - Program 1 ,2 - 3 yrs, Angus Glen C.C. ,Mon. ,9:30 a.m. - 11:00 a.m. ,Jan. 4 ,9 ,273984 ,$87.50
"","",Angus Glen C.C. ,Wed. ,9:30 a.m. - 11:00 a.m. ,Jan. 6 ,10 ,273986 ,$97
"","",Angus Glen C.C. ,Thu. ,9:30 a.m. - 11:00 a.m. ,Jan. 7 ,10 ,273985 ,$97
"","",Angus Glen C.C. ,Fri. ,9:30 a.m. - 11:00 a.m. ,Jan. 8 ,10 ,273987 ,$97
"","",Markham Village C.C. ,Thu. ,9:30 a.m. - 11:00 a.m. ,Jan. 7 ,10 ,273549 ,$97
"","",Markham Village C.C. ,Sat. ,9:30 a.m. - 11:00 a.m. ,Jan. 16 ,9 ,273548 ,$97
"","",Thornhill C.C. ,Fri. ,9:30 a.m. - 11:00 a.m. ,Jan. 8 ,10 ,274664 ,$97
Tot Spot - Program 2 ,3 - 5 yrs, Angus Glen C.C. ,Tue. ,9:30 a.m. - 11:30 a.m. ,Jan. 5 ,10 ,274029 ,$129
"","",Armadale C.C. ,Mon. ,11:00 a.m. - 12:30 p.m. ,Jan. 11 ,8 ,275280 ,$78
"","",Markham Village C.C. ,Sat. ,1:00 p.m. - 3:00 p.m. ,Jan. 9 ,9 ,273550 ,$129
"","",Thornhill C.C. ,Mon. ,10:30 a.m. - 12:00 p.m. ,Jan. 4 ,10 ,274665 ,$97
Under water Hockey Jr. ,4 - 6 yrs, Milliken Mills C.C. ,Mon. ,6:00 p.m. - 6:30 p.m. ,Jan. 11 ,4 ,272988 ,$46
"","",Milliken Mills C.C. ,Wed. ,4:00 p.m. - 4:30 p.m. ,Jan. 13 ,4 ,272991 ,$46
"","",Milliken Mills C.C. ,Mon. ,6:00 p.m. - 6:30 p.m. ,Feb. 8 ,4 ,272999 ,$46
"","",Milliken Mills C.C. ,Wed. ,4:00 p.m. - 4:30 p.m. ,Feb. 10 ,4 ,272998 ,$46
