Program Name,Age,Location,Day,Time,Start Date,# of Classes,Course Code,Fee
Computer Programming - Java Level Two,11 - 16 yrs,Milliken Mills C.C.,Sat.,3:00 p.m. - 4:00 p.m.,Jan. 16,8,273159,$138
Computer Programming - Python Level One,10 - 16 yrs,Milliken Mills C.C.,Fri.,8:00 p.m. - 9:00 p.m.,Jan. 15,8,273182,$138
Computers - HTML Web Design,11 - 15 yrs,Angus Glen Library,Sat.,2:30 p.m. - 4:30 p.m.,Jan. 23,3,273227,$103.50
"","",Milliken Mills C.C.,Thu.,7:00 p.m. - 8:00 p.m.,Jan. 14,8,273183,$138
Computers-Microsoft Powerpoint,8 - 15 yrs,Angus Glen Library,Mon.,6:30 p.m. - 7:30 p.m.,Jan. 11,6,273718,$103.50
Cooking Creations,10 - 14 yrs,Centennial C.C.,Fri.,5:30 p.m. - 7:00 p.m.,Jan. 8,10,273564,$138
"","",Centennial C.C.,Thu.,7:00 p.m. - 8:30 p.m.,Jan. 14,10,273565,$138
Create Minecraft Mods,10 - 16 yrs,Angus Glen Library,Sat.,12:30 p.m. - 2:00 p.m.,Jan. 16,8,273266,$200
"","",Milliken Mills Library,Wed.,5:30 p.m. - 7:00 p.m.,Jan. 13,8,273267,$200
Dance Pl3y,11 - 14 yrs,Thornhill C.C.,Sun.,3:45 p.m. - 4:45 p.m.,Jan. 10,10,274557,$76
Dodgeball,11 - 14 yrs,Angus Glen C.C.,Fri.,7:00 p.m. - 8:00 p.m.,Jan. 8,9,274046,$47.50
"","",Cornell C.C.,Mon.,7:00 p.m. - 8:00 p.m.,Jan. 4,10,273646,$60
Drawing,11 - 14 yrs,Angus Glen C.C.,Tue.,6:30 p.m. - 8:00 p.m.,Jan. 5,10,273992,$97
"","",Armadale C.C.,Sun.,2:45 p.m. - 4:15 p.m.,Jan. 17,7,275186,$78
"","",Centennial C.C.,Wed.,6:30 p.m. - 8:00 p.m.,Jan. 6,10,273573,$97
"","",Centennial C.C.,Sat.,2:30 p.m. - 4:00 p.m.,Jan. 9,10,273574,$97
"","",Milliken Mills C.C.,Tue.,6:30 p.m. - 8:00 p.m.,Jan. 12,9,272239,$87.50
Drumming,11 - 14 yrs,Angus Glen C.C.,Thu.,6:30 p.m. - 7:30 p.m.,Jan. 7,10,274042,$139
"","",Angus Glen C.C.,Thu.,7:30 p.m. - 8:30 p.m.,Jan. 7,10,274043,$139
